Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Cloners (old)),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Duplicate),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Superset),Outward issue link (Superset),Outward issue link (Superset),Outward issue link (Superset),Outward issue link (Superset),Outward issue link (Superset),Outward issue link (Superset),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (3Scale PT Tested upstream),Custom field (3scale PT Docs),Custom field (3scale PT Product Specs),Custom field (3scale PT Product Update Ready),Custom field (3scale PT Released In Saas),Custom field (3scale PT Verified Product),Custom field (Affected EPP Document),Custom field (Affects),Custom field (Affects),Custom field (Affects),Custom field (Affects Build),Custom field (Approvals),Custom field (Blocked Tests),Custom field (Bugzilla References),Custom field (CDW blocker),Custom field (CDW devel_ack),Custom field (CDW docs_ack),Custom field (CDW exception),Custom field (CDW pm_ack),Custom field (CDW qa_ack),Custom field (CDW release),Custom field (Class of work),Custom field (Component Fix Version(s)),Custom field (Date of First Comment),Custom field (Deployment Notes),Custom field (Developer),Custom field (Docs QE Status),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Type),Custom field (Estimated Difficulty),Custom field (External Issue URL),Custom field (External issue ID),Custom field (Features),Custom field (Fix Build),Custom field (Forum Reference),Custom field (GSS Priority),Custom field (Git Pull Request),Custom field (GitHub ID),Custom field (GitHub Labels),Custom field (GitHub Number),Custom field (GitHub Reporter),Custom field (GitHub Status),Custom field (Help Desk Ticket Reference),Custom field (Last Issue-Sync Update),Custom field (Microrelease version),Custom field (Migration Text),Custom field (NEEDINFO),Custom field (NEEDINFO Due Date),Custom field (Notes),Custom field (Number of attachments),Custom field (Number of comments),Custom field (Original story points),Custom field (PDD Priority),Custom field (Parent Link),Custom field (Patch Instructions),Custom field (Patch Repository Link),Custom field (Patch Visibility),Custom field (Percent complete),Custom field (Percent confident),Custom field (Primary SME),Custom field (QE Acceptance Test Link),Custom field (QE Status),Custom field (QE Test Coverage),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Notes Docs Status),Custom field (Release Notes Text),Custom field (SFDC Cases Counter),Custom field (SFDC Cases Links),Custom field (SVN / CVS Isolated Branch),Custom field (SourceForge Reference),Custom field (Stackoverflow ID),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Support Case Reference),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Work Items),Custom field (Tester),Custom field (UXD Engagement Level),Custom field (Upstream Jira),Custom field (Urgency),Custom field (User Story),Custom field (Workaround),Custom field (Workaround Description),Custom field (Writer),Custom field (cee_cir),Custom field (cee_docs_prio),Custom field (ip owner),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Add monitoring via JMX,XNIO-17,12361284,,Task,Closed,XNIO,XNIO,software,dmlloyd,,http://jboss.org/xnio,Major,Done,dmlloyd,dmlloyd,dmlloyd,11/Jun/08 4:45 AM,30/Nov/08 6:17 PM,09/May/19 9:47 PM,30/Nov/08 6:17 PM,,,,,,,,,,,,1.2.0.CR1,,,,,,,,,,,,,0,,,,,,,,"Statistics include socket count, byte/message in/out, etc.  Operations include socket kill, etc.",,"Have added management beans for all channel types.  These are implemented as separate objects from the channels themselves. 
- Xnio object may benefit from management functions as well - I haven't discussed this with DL.
- added Management tests which currently just test the Tcp channels.  It should be simple to add tests for Udp and Pipes (to be executed only on *nix type platforms).  
- noticed the close() operation is throwing an Exception when invoked from jconsole when I test against EchoClient.  I haven't figured out what this is so may need to be raised as a bug.  
- managed item names might need refactoring for more appropriate names.  

I'm starting a *real* job next week so will have less time to spend on this but will help where I can.  I'm watching this jira issue so just add a comment if you want me to do anything.;07/Nov/08 6:20 AM;RobHadfield;72000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,72000,,,0,72000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21/Oct/08 8:48 AM;Implementation sample from JConsole.jpg;https://issues.jboss.org/secure/attachment/12323008/Implementation+sample+from+JConsole.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-10-21 08:48:57.0,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,"1|hy2ut3:",6120,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"21/Oct/08 8:48 AM;RobHadfield;Hi, would welcome feedback on the few manageable items provided.  I made the MBean name include the local and remote socket endpoints just because that's what seems would be useful to me.  There is also a single operation 'close()' on the 'Operations' pane.  ","21/Oct/08 9:35 AM;dmlloyd;Looks cool.  Might it be worth providing the socket addresses as attributes too, to make it easier for management software to locate a specific entry without parsing the name?","21/Oct/08 9:38 AM;dmlloyd;Also - I am curious how much the counters will detriment performance.  If it is significant, I think we probably ought to drop the ""messages"" counter and just stick with bytes in/out.","30/Nov/08 6:17 PM;dmlloyd;I've completed this task.  The code has been reorganized so that all common management functions are in the API.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set up project,WISE-91,12374223,,Task,Closed,WISE,Wise,software,maeste,,http://jboss.org/wise/,Major,Out of Date,fdg,fdg,fdg,30/Dec/08 8:15 PM,10/Jun/13 6:21 PM,09/May/19 8:26 PM,18/Feb/13 8:29 AM,,,,,,,,,,,,,,,,webgui,,,,,,,,,0,,,,,,,,The project layout may be similar to wise core. At the moment libraries to be included are gwt and wise core.,,";30/Dec/08 8:25 PM;fdg;60",";30/Dec/08 8:25 PM;fdg;3600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,3660,101%,3600,3600,3660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,"1|hy7z6v:",35760,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"03/Jan/09 7:16 AM;fdg;Also GWT-ize the project and create the right build files. The possibility to run the GUI in Hosted Mode is welcome.","20/Dec/09 10:08 AM;fdg;project reworked to be a plain gwt 2.0 project that can be runned in dev mode.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adding map or resource list,TOOLSDOC-54,12397343,12391541,Sub-task,Closed,TOOLSDOC,Documentation for JBoss Tools and Developer Studio,software,mhusnain,"<strong>This JIRA project is closed now, use <a href=""/browse/RHDEVDOCS"">RHDEVDOCS project</a> instead please.</strong><p>
Issues concerning JBoss Developer Studio/JBoss Tools Documentation - kept separate because the work-flow is different from engineering tasks.",,Major,Done,,smukhina,smukhina,04/Nov/09 11:58 AM,12/Apr/10 7:27 AM,09/May/19 9:49 PM,14/Jan/10 10:53 AM,3.0.0.GA,,,,,,,,,,,Future,,,,,,,,,,,,30/Nov/09 12:00 AM,0,,,,,,,,see what's new and find the related dev jira for guide update http://docs.jboss.org/tools/whatsnew/smooks/smooks-news-1.1.0.M2.html,,";14/Jan/10 8:00 AM;OChikvina;10800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800,0,10800,100%,10800,0,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-01-14 07:59:25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,"1|hya38n:",47869,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"14/Jan/10 7:59 AM;OChikvina;All the new features, described in http://docs.jboss.org/tools/whatsnew/smooks/smooks-news-1.1.0.M2.html now are out -of-date because Smooks editor has been completely redesigned since this time.So I think this this task should be closed and all the changes in the guide should be made  in the scope of ""Smooks editor is redesigned"" task (JBDS-821).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smooks editor is redesigned ,TOOLSDOC-53,12391541,,Bug,Resolved,TOOLSDOC,Documentation for JBoss Tools and Developer Studio,software,mhusnain,"<strong>This JIRA project is closed now, use <a href=""/browse/RHDEVDOCS"">RHDEVDOCS project</a> instead please.</strong><p>
Issues concerning JBoss Developer Studio/JBoss Tools Documentation - kept separate because the work-flow is different from engineering tasks.",,Major,Done,irooskov,smukhina,smukhina,10/Aug/09 1:14 PM,14/Mar/11 7:46 PM,09/May/19 9:49 PM,14/Mar/11 7:46 PM,3.0.0.GA,,,,,,,,,,,Future,,,,,,,,,,,,14/Aug/09 12:00 AM,0,,,,,,,,"Update the guide 
see the linked issues ",,";14/Sep/09 8:43 AM;chukhutsina;28800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86400,57600,28800,33%,111600,72000,39600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JBDS-798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-08-13 08:31:43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.0,,,,,,,,,,,,,"1|hy9u67:",46400,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"13/Aug/09 8:31 AM;maxandersen;moving to -doc version for better separation.","14/Sep/09 8:37 AM;chukhutsina;Updated Quick Start section according to the new design and functionality of the Smooks-tools.","28/Sep/09 11:11 AM;chukhutsina;The task is temporary delayed,because now Smooks- plugin is in the process of active development and modifying.","09/Oct/09 5:16 AM;OChikvina;Mike, when will work on the guide update, please make sure that there is no unused images in the svn.","04/Nov/09 12:11 PM;smukhina;see also this what's new page http://docs.jboss.org/tools/whatsnew/smooks/smooks-news-1.1.0.M1.html","04/Nov/09 12:22 PM;smukhina;see this one as well - file:///home/ubuntu/Repos/Jboss_tools/trunk/documentation/whatsnew/smooks/smooks-news-1.1.0.M4.html","28/Nov/09 12:16 PM;bfitzpat;Svetlana, I've created a high level user guide in a wiki document here: http://www.jboss.org/community/wiki/GuidetotheRevisedSmooksConfigurationEditor

Hopefully that will help you get started with the latest round of fixes. There shouldn't be any major changes from the basic process outlined here. We also have a new test facility for Smooks that you might ask Tom Fennelly to write up something on. Tom's just about done with that.
","16/Dec/09 8:46 AM;smukhina;Olga, also have a look at - trunk/documentation/whatsnew/smooks/smooks-news-1.1.0.CR1.html","14/Jan/10 10:50 AM;smukhina; - invesigated JBIDE-4536-no changes are necessary in the Smooks guide;
 - invesigated JBIDE-5085-no changes are necessary in the Smooks guide;","14/Jan/10 12:35 PM;smukhina;Invesigated JBIDE-4712- Add Overview tab in smooks configuraion editor. The task is too old and now the overview tab is no longer included in the Smooks editor.So no changes are necessary in the Smooks guide;
Invesigated JBIDE-4691- Split the Smooks configuration editor into more tabs. The task is too old and now all these tabs are no longer included into the Smooks editor.So no changes are necessary in the Smooks guide in regard to this task;
Invesigated JBIDE-4656- Add smooks 1.2 support to smooks configuration  editor.Now the version 1.2 of smooks tools is set as default one in the smooks editor.The Smooks platform version can be seen on the options tab.Besides it's not rechangable,So no changes are necessary in the Smooks guide;
Invesigated JBIDE-4700 -Remove the ""Smooks resource list"" element in the ""desgin tab"" and add some buttons to add/remove the elements in the treeviewer.design tab was removed from the smooks configuraion editor,So no changes are necessary in the Smooks guide;
Invesigated JBIDE-4878 - Add a Input tab page in Smooks configuration editor.Input tab was replaced with Process tab,so the task is out of date for the current doc task
","05/Feb/10 10:12 AM;OChikvina;Fully described all tabs in the Smooks editor as well as the most important tasks in Smooks tools.It's also necessary to add Wizards subchapter to Reference chapter.","12/Mar/10 9:31 AM;OChikvina;All the info in smooks-news-1.1.0.M1.html till smooks-news-1.1.0.M4.html is out of date because Smooks Editor  was completely redesigned.All the changes described in smooks-news-1.1.0.CR1.html  can be already found in Smooks-Doc.","12/Mar/10 1:41 PM;OChikvina;Added info about Properties view to the Smooks-doc.","12/Mar/10 2:05 PM;OChikvina;Reviewed the content of Smooks doc sources,deleted all the old out-of date screens and .xml s that were included into them before but were no longer useful.","12/Mar/10 2:35 PM;OChikvina;Invesigated JBIDE-4171-I think  this task is already covered by the changes being made to the guide before,because the new view of the Editor was already described.
Invesigated JBIDE-4592-EDI Message Mapping Editor was deleted from Smooks tools.The possibility to set EDI input file was already described in Smooks-doc,so no more changes are needed.
 ","12/Mar/10 2:52 PM;OChikvina;Invesigated JBIDE-4592-Support Json type input data.Json input data wizard was removed from Smooks tools.Now it's replaced by  Selected Task Details Section for Input JSON Task.It's described in the current version of Smooks -doc.So additional changes in docs are not needed.","12/Mar/10 5:47 PM;smukhina;check the demos and make  links to it from the corresponding sections -
http://community.jboss.org/wiki/JBossTools-SmooksEditor ","16/Mar/10 2:06 PM;OChikvina;JBIDE-5220 - Smooks editor - move Input page bits to Process page when Input task selected.Investigated this task.No additional changes are needed because the Graph pane of the process tab is already described in ""Process tab"" subsection.
JBIDE-5195 - Remove the palette from Smooks editor. The info about adding different actions to the Processing Task subsection is already added to the guide.No changes are needed.
","16/Mar/10 2:27 PM;OChikvina;JBIDE-5258 - Remove the need for the <graphic> configs in the Smooks config.No changes in the scope of the task is needed because it doesn't affects Smooks-doc.
JBIDE-5250 -Drop support Smooks v1.1.In the section ""3.2.1. Smooks Configuration section"" is already described that only Smooks v1.2 is supportable.It's also reflected on the screens.","17/Mar/10 1:02 PM;OChikvina;Investigated all the subtasks of the task JBIDE-4648: 
JBIDE-5067- no changes are needed because Process tab is already described in Smooks-doc.
JBIDE-5085 -No changes are required.The info about Input task and that it's required is already exist.
JBIDE-5088- does not affects the documentation at all.
JBIDE-5086- the info about Auto Layout and other popup options was added to smooks-doc.","22/Mar/10 6:05 AM;OChikvina;Investigated JBIDE-5029 -Added description of Apply Template Wizard to Smooks -doc.These changes are also made in the scope of http://docs.jboss.org/tools/whatsnew/smooks/smooks-news-1.1.0.CR2.html. So now all the changes made in the scope of JBIDE-4648 and smooks-news-1.1.0.CR2 are fully covered.","22/Mar/10 6:18 AM;OChikvina;Investigated JBIDE-3769 -CA has not been created yet.So no changes in Smooks-docs are needed.","22/Mar/10 6:27 AM;OChikvina;Investigated JBIDE-5687-""Improve Decode Param support"" and JBIDE-3950-""Add Enum type on configuration page for ""EnumDecoder"" decoder"".Added info about decode support as a subsection to the Properties view section.Added info about EnumDecoder in particular. ","25/Mar/10 8:08 AM;OChikvina;Checked the demos -all of them are up -to-date.Added  links to them from Smooks guide.","25/Mar/10 8:11 AM;OChikvina;Waiting for resolving  JBIDE-4693 and JBIDE-4174 .","14/Mar/11 7:46 PM;irooskov;The work on this JIRA has been done up to what is present in the tool (from what I can see). The remaining open engineering bug has been opened since 2009 and thus I am closing this issue as resolved. If the open issue is fixed in the future please open a new bug for documentation purposes",,,,,,,,,,,,,,,,,,,,,
Archived download option ,TOOLSDOC-37,12397331,,Task,Closed,TOOLSDOC,Documentation for JBoss Tools and Developer Studio,software,mhusnain,"<strong>This JIRA project is closed now, use <a href=""/browse/RHDEVDOCS"">RHDEVDOCS project</a> instead please.</strong><p>
Issues concerning JBoss Developer Studio/JBoss Tools Documentation - kept separate because the work-flow is different from engineering tasks.",,Major,Done,abogachuk,smukhina,smukhina,04/Nov/09 11:35 AM,13/May/10 12:44 PM,09/May/19 9:49 PM,13/May/10 12:44 PM,3.0.0.GA,,,,,,,,,,,Future,,,,,,,,,,,,30/Nov/09 12:00 AM,0,,,,,,,,see that linked task and http://docs.jboss.org/tools/whatsnew/core/core-news-3.1.0.M2.html - wha'ts new Archived download option,,"Now it is done.
Updated the ""JBoss Tools Installation and Update"" chapter.;13/May/10 12:43 PM;abogachuk;7200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21600,14400,7200,33%,21600,14400,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-01-29 18:52:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,"1|hya2zj:",47828,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"29/Jan/10 6:52 PM;nickboldt;Since the installer now only uses the ALL zip as part of the assembly process, but does not publish it (in favour of the Update zip), and since this is documented in the what's new (from M2)...

is this issue done?","13/May/10 12:44 PM;abogachuk;Now it is done.
Updated the JBoss Tools Installation and Update"" chapter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow guide,TOOLSDOC-34,12388957,,Task,Closed,TOOLSDOC,Documentation for JBoss Tools and Developer Studio,software,mhusnain,"<strong>This JIRA project is closed now, use <a href=""/browse/RHDEVDOCS"">RHDEVDOCS project</a> instead please.</strong><p>
Issues concerning JBoss Developer Studio/JBoss Tools Documentation - kept separate because the work-flow is different from engineering tasks.",,Major,Done,abogachuk,smukhina,smukhina,29/Jun/09 11:55 AM,13/May/10 9:12 AM,09/May/19 9:49 PM,13/May/10 9:12 AM,3.0.0.GA,,,,,,,,,,,Future,,,,,,,,,,,,31/Jul/09 12:00 AM,0,,,,,,,,"Guide on Flow tools is required, the initial doc will be written by Koen Aers",,";13/May/10 9:12 AM;abogachuk;14400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144000,129600,14400,10%,144000,129600,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-08-13 08:31:44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,,"1|hya2zr:",47829,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"13/Aug/09 8:31 AM;maxandersen;moving to -doc version for better separation.","30/Nov/09 7:54 AM;smukhina;Investigate what is already written by Koen Aers, write a guide basing on this info ","13/May/10 9:11 AM;abogachuk;During the investigation I have found out that Flow tools consists only  of a flow editor.This editor is also included into Drools tools and was described in Drools Tools Reference Guide. So I think this task is out of date and can be closed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tool to replace diffmk,TOOLSDOC-27,12384231,,Task,Resolved,TOOLSDOC,Documentation for JBoss Tools and Developer Studio,software,mhusnain,"<strong>This JIRA project is closed now, use <a href=""/browse/RHDEVDOCS"">RHDEVDOCS project</a> instead please.</strong><p>
Issues concerning JBoss Developer Studio/JBoss Tools Documentation - kept separate because the work-flow is different from engineering tasks.",,Major,Done,OChikvina,smukhina,smukhina,15/Apr/09 9:24 AM,31/May/10 6:27 PM,09/May/19 9:49 PM,31/May/10 6:27 PM,3.0.0.GA,,,,,,,,,,,3.0.1.GA,,,,,,,,,,,,29/May/09 12:00 AM,0,,,,,,,,"It's necessary to replace diffmk, as it corrupts guides structure and then it should be corrected manually, we need more sophisticated tool to reduce manual work. Investigation of existing appropriate tools is required.. ",,";28/Sep/09 8:06 AM;chukhutsina;28800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-04-20 10:04:02.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,,,,,,,,,,,,,"1|hya1xr:",47658,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"20/Apr/09 10:04 AM;chukhutsina;JExamXml tool(http://www.a7soft.com/jexamxml.html) was investigated.Though it 's a command line comparison tool and is written on Java,but the tool isn't suitable for our purposes ,because it compares whole nodes of the  files, not line by line.","20/Apr/09 10:20 AM;chukhutsina;Smallx  set of tools(https://smallx.dev.java.net/command-line.html) were investigated .The documentation doesn't correspond to downloaded realization.That's why the  using of the tool is  impossible.","20/Apr/09 11:37 AM;chukhutsina;ECMerge(http://www.diffutils.com/project-revision-control/ecmerge.html), Guiffy(www.guiffy.com), ALTOVA (www.altova.com) meet our demands , but they all are  not free programs.","13/Aug/09 8:42 AM;maxandersen;move to -doc version for less overlap with engineering tasks.","28/Sep/09 8:06 AM;chukhutsina;Xmldiffpatch.exe compares two XML files and produces an XML output of the differences, by utilizing a typical scenario that readers can apply to their own applications.It can be run only on Windows.","05/Oct/09 2:57 PM;maxandersen;reopen for clarification.

What is xmldiffpatch.exe ? Where is it from ? What is the license ?

How is it to be used ?","20/Oct/09 5:42 AM;OChikvina;XML Diff and Patch Tool (xmldiffpatch.exe) is intended for .NET development and requeres .NET Framework to be installed. It proves API to make different types of comparisons between two XML files.
See http://msdn.microsoft.com/en-us/library/aa302294.aspx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New button is added. state for the button is changed ,TOOLSDOC-19,12361919,,Task,Resolved,TOOLSDOC,Documentation for JBoss Tools and Developer Studio,software,mhusnain,"<strong>This JIRA project is closed now, use <a href=""/browse/RHDEVDOCS"">RHDEVDOCS project</a> instead please.</strong><p>
Issues concerning JBoss Developer Studio/JBoss Tools Documentation - kept separate because the work-flow is different from engineering tasks.",,Major,Done,irooskov,smukhina,smukhina,19/Jun/08 5:24 AM,02/Mar/15 1:11 AM,09/May/19 9:49 PM,14/Mar/11 7:33 PM,3.0.0.GA,,,,,,,,,,,Future,,,,User Guide,,,,,,,,27/Feb/09 12:00 AM,0,,,,,,,,Verify screens in guide are updated according to new functionality implemented ,,"Experiencing problems with Tools update, trying to fix it, the update is required to see the changes;21/Apr/09 12:42 PM;smukhina;10800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,3600,10800,75%,14400,3600,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-12-19 07:22:58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,,,,,,,,"1|hy9u6f:",46401,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"19/Dec/08 7:22 AM;maxandersen;slip","02/Mar/09 12:37 PM;smukhina;screen to retake -http://download.jboss.org/jbosstools/nightly-docs/en/hibernatetools/html_single/images/plugins/plugins_1.png","13/Aug/09 8:42 AM;maxandersen;move to -doc version for less overlap with engineering tasks.","15/Dec/10 9:05 PM;irooskov;I couldn't see a new button added to this wizard, it looks the same as the .png linked above (that already exists in the book :S","14/Mar/11 7:33 PM;irooskov;This issue seems to be fixed; closing resolved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
