Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Related),Outward issue link (Related),Attachment,Attachment,Attachment,Attachment,Custom field (3Scale PT Tested upstream),Custom field (3scale PT Docs),Custom field (3scale PT Product Specs),Custom field (3scale PT Product Update Ready),Custom field (3scale PT Released In Saas),Custom field (3scale PT Verified Product),Custom field (Affected EPP Document),Custom field (Affects),Custom field (Affects),Custom field (Affects),Custom field (Affects Build),Custom field (Blocked Tests),Custom field (Bugzilla References),Custom field (CDW blocker),Custom field (CDW devel_ack),Custom field (CDW docs_ack),Custom field (CDW exception),Custom field (CDW pm_ack),Custom field (CDW qa_ack),Custom field (CDW release),Custom field (Class of work),Custom field (Component Fix Version(s)),Custom field (Date of First Comment),Custom field (Deployment Notes),Custom field (Developer),Custom field (Docs QE Status),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Type),Custom field (Estimated Difficulty),Custom field (External Issue URL),Custom field (External issue ID),Custom field (Features),Custom field (Fix Build),Custom field (Forum Reference),Custom field (GSS Priority),Custom field (Git Pull Request),Custom field (GitHub ID),Custom field (GitHub Labels),Custom field (GitHub Number),Custom field (GitHub Reporter),Custom field (GitHub Status),Custom field (Help Desk Ticket Reference),Custom field (Last Issue-Sync Update),Custom field (Microrelease version),Custom field (Migration Text),Custom field (NEEDINFO),Custom field (NEEDINFO Due Date),Custom field (Notes),Custom field (Number of attachments),Custom field (Number of comments),Custom field (Original story points),Custom field (PDD Priority),Custom field (Parent Link),Custom field (Patch Instructions),Custom field (Patch Repository Link),Custom field (Percent complete),Custom field (Percent confident),Custom field (Primary SME),Custom field (QE Acceptance Test Link),Custom field (QE Status),Custom field (QE Test Coverage),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Notes Docs Status),Custom field (Release Notes Text),Custom field (SFDC Cases Counter),Custom field (SFDC Cases Links),Custom field (SVN / CVS Isolated Branch),Custom field (SourceForge Reference),Custom field (Stackoverflow ID),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Support Case Reference),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Work Items),Custom field (Tester),Custom field (UXD Engagement Level),Custom field (Upstream Jira),Custom field (Urgency),Custom field (User Story),Custom field (Workaround Description),Custom field (Writer),Custom field (cee_cir),Custom field (cee_docs_prio),Custom field (ip owner),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
FIND_INITIAL_MBRS blocks entire traffic,JGRP-11,12312478,,Bug,Resolved,JGRP,JGroups,software,belaban, Please review the template project and its related documentation for the recommended project management practices. http://jira.jboss.com/jira/browse/JBTPL,http://jgroups.org,Critical,Done,belaban,belaban,belaban,31/Dec/04 9:24 AM,05/Jan/05 12:00 PM,09/May/19 9:51 PM,04/Jan/05 3:20 AM,,,,,,,,,2.2.8,,,,,,,,,,0,"In PING/TCPPING, down(FIND_INITIAL_MBRS) blocks for (e.g.) 3000ms until n members have been found. If less than n members are present, we block the entire 3000ms !

This affects:
PING
TCPPING
TCPGOSSIP and
WANPING

SOLUTION: we need to run FIND_INITIAL_MBRS in a separate thread",,";05/Jan/05 9:30 AM;belaban;28800",,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,"1|hydm7r:",68364,,,0.0,,,,,,,,,,,,,,,,,,,,,,"04/Jan/05 3:20 AM;belaban;Solved as suggested","05/Jan/05 12:00 PM;belaban;Here's Mark Kopec's example:
<TCPPING timeout=""3000"" initial_hosts=""192.168.0.57[7800]"" 
 port_range=""3"" num_initial_members=""3""/>

My testdriver went as follows:

1) Client joins jgroups channel
2) Server joins jgroups channel

Server sends packets to the client at short intervals of 100 ms.
Client sends packets to the server at intervals of 2000 ms. (Packets are
stuffed to be 10K)

We were interested in measuring the response times from server to client.
So Server put a timestamp send off packet to Client, client calculated the
difference. The test was done on the same machine. (Client and server on
same windows box)

We found this pattern:

This messages time for response is:62
This messages time for response is:47
This messages time for response is:78
This messages time for response is:47
This messages time for response is:79
This messages time for response is:94
This messages time for response is:46
This messages time for response is:94
This messages time for response is:47
This messages time for response is:94
This messages time for response is:31
This messages time for response is:0
This messages time for response is:0
This messages time for response is:47
This messages time for response is:31
This messages time for response is:47
This messages time for response is:31
This messages time for response is:94
This messages time for response is:3078
This messages time for response is:2969
This messages time for response is:2859
This messages time for response is:2750
This messages time for response is:2641
This messages time for response is:2547
This messages time for response is:2531
This messages time for response is:2438
This messages time for response is:2328
This messages time for response is:2235
This messages time for response is:2125
This messages time for response is:2031
This messages time for response is:1938
This messages time for response is:1844
This messages time for response is:1751
This messages time for response is:1641
This messages time for response is:1640
This messages time for response is:1531
This messages time for response is:1437
This messages time for response is:1375
This messages time for response is:1328
This messages time for response is:1203
This messages time for response is:1109
This messages time for response is:1000
This messages time for response is:906
This messages time for response is:797
This messages time for response is:703
This messages time for response is:594
This messages time for response is:516
This messages time for response is:407
This messages time for response is:297
This messages time for response is:265
This messages time for response is:172
This messages time for response is:93
This messages time for response is:78
This messages time for response is:62
This messages time for response is:31
This messages time for response is:47
This messages time for response is:0
This messages time for response is:0
This messages time for response is:0
This messages time for response is:47
This messages time for response is:47
This messages time for response is:16
This messages time for response is:46
This messages time for response is:78
This messages time for response is:32
This messages time for response is:47
This messages time for response is:47
This messages time for response is:47
This messages time for response is:16
This messages time for response is:0
This messages time for response is:31
This messages time for response is:47
This messages time for response is:3126
This messages time for response is:3047
This messages time for response is:2953
This messages time for response is:2844
This messages time for response is:2750
This messages time for response is:2703
This messages time for response is:2672
This messages time for response is:2578
This messages time for response is:2469
This messages time for response is:2438
This messages time for response is:2360
This messages time for response is:2266
This messages time for response is:2156
This messages time for response is:2063
This messages time for response is:1953
This messages time for response is:1860
This messages time for response is:1766
This messages time for response is:1656
This messages time for response is:1547
This messages time for response is:1453
This messages time for response is:1344
This messages time for response is:1250
This messages time for response is:1125
This messages time for response is:1031
This messages time for response is:937
This messages time for response is:812
This messages time for response is:718
This messages time for response is:609
This messages time for response is:500
This messages time for response is:359
This messages time for response is:250
This messages time for response is:78
This messages time for response is:31
This messages time for response is:79
This messages time for response is:47
This messages time for response is:46
This messages time for response is:16
This messages time for response is:31
This messages time for response is:16
This messages time for response is:31
This messages time for response is:16
This messages time for response is:16
This messages time for response is:16
This messages time for response is:3016
This messages time for response is:2938
This messages time for response is:2844
This messages time for response is:2734
This messages time for response is:2641
This messages time for response is:2531
This messages time for response is:2438
This messages time for response is:2328
This messages time for response is:2234
This messages time for response is:2125
This messages time for response is:2047

I actually found the current configuration with MERGE2 used TCPPING came in
useful. However each call to TCPPING stalled the packets by almost exactly
that timeout period ""3000"".",,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeout in TCPPING FIND_INITIAL_MBRS is wrong,JGRP-10,12312441,,Bug,Resolved,JGRP,JGroups,software,belaban, Please review the template project and its related documentation for the recommended project management practices. http://jira.jboss.com/jira/browse/JBTPL,http://jgroups.org,Minor,Done,belaban,xaxxon,xaxxon,28/Dec/04 3:26 PM,05/Jan/05 9:31 AM,09/May/19 9:51 PM,31/Dec/04 9:11 AM,,,,,,,,,2.2.8,,,,,,,,,,0,"This is actually a problem in 2.2.7 -- the latest release available from the sourceforge site.

in TCPPING.java line 227 (I
>can't really cut and paste from this setup), what you probably want is
>something like:
>
>time_to_wait = timeout - ( System.getCurrentTimeMillis() - start_time ).
>
>What you currently have may well not wait the full time specified.  If
>two results come in at the half-way mark, that will get time_to_wait
>to 0 and it will exit (I think).",Linux,";05/Jan/05 9:31 AM;belaban;28800",,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-12-31 09:11:03.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,"1|hydm7z:",68365,,,0.0,,,,,,,,,,,,,,,,,,,,,,"31/Dec/04 9:11 AM;belaban;accepted patch",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conversion of Externalizable to Streamable,JGRP-5,12310876,,Feature Request,Resolved,JGRP,JGroups,software,belaban, Please review the template project and its related documentation for the recommended project management practices. http://jira.jboss.com/jira/browse/JBTPL,http://jgroups.org,Major,Done,belaban,belaban,belaban,24/Dec/04 9:07 AM,05/Jan/05 9:29 AM,09/May/19 9:51 PM,05/Jan/05 9:25 AM,,,,,,,,,2.2.8,,,,,,,,,,0,,,";05/Jan/05 9:29 AM;belaban;432000",,,,,,,,,,,,,432000,0,432000,100%,432000,0,432000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,"1|hydm87:",68366,,,0.0,,,,,,,,,,,,,,,,,,,,,,"05/Jan/05 9:26 AM;belaban;Resulted in 40% speed improvement and 50% size reduction compared to Externalizable for marshalling and unmarshalling of Messages (not including transport and handling)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scout/jUDDI based JAXR Implementation,JBWS-259,12312557,,Task,Closed,JBWS,JBoss Web Services,software,jim.ma,"<p/>
<a href='https://jira.jboss.org/jira/secure/IssueNavigator.jspa?mode=hide&requestId=12312210'>Show my open issues</a> sorted by version.
<!-- http://jira.jboss.org/jira/secure/IssueNavigator.jspa?mode=hide&requestId=12310321 -->
<br/><br/>
Bug only filters:<br/>
<a href=""https://jira.jboss.org/jira/secure/IssueNavigator.jspa?mode=hide&requestId=12313038"">All open bugs</a><br/>
<a href=""https://jira.jboss.org/jira/secure/IssueNavigator.jspa?mode=hide&requestId=12313035"">Native stack open bugs</a><br/>
<a href=""https://jira.jboss.org/jira/secure/IssueNavigator.jspa?mode=hide&requestId=12313037"">CXF stack open bugs</a><br/>

",http://jboss.org/jbossws,Major,Done,anil.saldhana,starksm64,starksm64,06/Jan/05 11:26 AM,17/Jun/05 1:45 PM,09/May/19 9:51 PM,31/Mar/05 3:33 PM,,,,,,,,,JBossAS-4.0.2 Final,JBossAS-5.0.0.CR2,,,,,,jbossws-native,,,0,"This is an integration task for replacement of the existing ebxmlrr JAXR implementation with one based on Scout/jUDDI


http://www.jboss.org/wiki/Wiki.jsp?page=JAXR",,";31/Jan/05 11:24 AM;anil.saldhana;720000",,,,,,,,,,,,,,2880000,720000,,,2880000,720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-03-31 15:33:29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,"1|hydm9b:",68371,,,0.0,,,,,,,,,,,,,,,,,,,,,,"31/Mar/05 3:33 PM;anil.saldhana;Passes the CTS tests for JAXR.  It will be released as part of JBoss 4.0.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
java.lang.NullPointerException at org.jboss.net.axis.Deployment.oldGetService(Deployment.java:255),JBWS-144,12313564,,Bug,Closed,JBWS,JBoss Web Services,software,jim.ma,"<p/>
<a href='https://jira.jboss.org/jira/secure/IssueNavigator.jspa?mode=hide&requestId=12312210'>Show my open issues</a> sorted by version.
<!-- http://jira.jboss.org/jira/secure/IssueNavigator.jspa?mode=hide&requestId=12310321 -->
<br/><br/>
Bug only filters:<br/>
<a href=""https://jira.jboss.org/jira/secure/IssueNavigator.jspa?mode=hide&requestId=12313038"">All open bugs</a><br/>
<a href=""https://jira.jboss.org/jira/secure/IssueNavigator.jspa?mode=hide&requestId=12313035"">Native stack open bugs</a><br/>
<a href=""https://jira.jboss.org/jira/secure/IssueNavigator.jspa?mode=hide&requestId=12313037"">CXF stack open bugs</a><br/>

",http://jboss.org/jbossws,Major,Done,thomas.diesler,wolfc,wolfc,03/Mar/05 2:27 AM,03/Mar/05 1:14 PM,09/May/19 9:51 PM,03/Mar/05 1:05 PM,jboss.net-3.2.6,,,,,,,,jboss.net-3.2.7,,,,,,,jbossws-native,,,0,"After starting a vanilla 'all' configuration I browse to http://<host>:8080/jboss-net/services/Version where upon which I get the NullPointerException. Instead I should have had a 'happy axis service' page.

2005-03-03 08:14:01,633 INFO  [org.apache.axis.transport.http.AxisServlet] Exception:
java.lang.NullPointerException
        at org.jboss.net.axis.Deployment.oldGetService(Deployment.java:255)
        at org.jboss.net.axis.Deployment.getService(Deployment.java:275)
        at org.apache.axis.configuration.FileProvider.getService(FileProvider.java:290)
        at org.apache.axis.AxisEngine.getService(AxisEngine.java:302)
        at org.apache.axis.transport.http.AxisServlet.doGet(AxisServlet.java:303)
        at javax.servlet.http.HttpServlet.service(HttpServlet.java:697)
        at org.apache.axis.transport.http.AxisServletBase.service(AxisServletBase.java:372)
        at javax.servlet.http.HttpServlet.service(HttpServlet.java:810)
        at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:237)
        at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:157)
        at org.jboss.web.tomcat.filters.ReplyHeaderFilter.doFilter(ReplyHeaderFilter.java:75)
        at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:186)
        at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:157)
        at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:214)
        at org.apache.catalina.core.StandardValveContext.invokeNext(StandardValveContext.java:104)
        at org.apache.catalina.core.StandardPipeline.invoke(StandardPipeline.java:520)
        at org.apache.catalina.core.StandardContextValve.invokeInternal(StandardContextValve.java:198)
        at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:152)
        at org.apache.catalina.core.StandardValveContext.invokeNext(StandardValveContext.java:104)
        at org.jboss.web.tomcat.security.CustomPrincipalValve.invoke(CustomPrincipalValve.java:66)
        at org.apache.catalina.core.StandardValveContext.invokeNext(StandardValveContext.java:102)
        at org.jboss.web.tomcat.security.SecurityAssociationValve.invoke(SecurityAssociationValve.java:158)
        at org.apache.catalina.core.StandardValveContext.invokeNext(StandardValveContext.java:102)
        at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:540)
        at org.apache.catalina.core.StandardValveContext.invokeNext(StandardValveContext.java:102)
        at org.apache.catalina.core.StandardPipeline.invoke(StandardPipeline.java:520)
        at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:137)
        at org.apache.catalina.core.StandardValveContext.invokeNext(StandardValveContext.java:104)
        at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:118)
        at org.apache.catalina.core.StandardValveContext.invokeNext(StandardValveContext.java:102)
        at org.apache.catalina.core.StandardPipeline.invoke(StandardPipeline.java:520)
        at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:109)
        at org.apache.catalina.core.StandardValveContext.invokeNext(StandardValveContext.java:104)
        at org.apache.catalina.core.StandardPipeline.invoke(StandardPipeline.java:520)
        at org.apache.catalina.core.ContainerBase.invoke(ContainerBase.java:929)
        at org.apache.coyote.tomcat5.CoyoteAdapter.service(CoyoteAdapter.java:160)
        at org.apache.jk.server.JkCoyoteHandler.invoke(JkCoyoteHandler.java:300)
        at org.apache.jk.common.HandlerRequest.invoke(HandlerRequest.java:374)
        at org.apache.jk.common.ChannelSocket.invoke(ChannelSocket.java:743)
        at org.apache.jk.common.ChannelSocket.processConnection(ChannelSocket.java:675)
        at org.apache.jk.common.SocketConnection.runIt(ChannelSocket.java:866)
        at org.apache.tomcat.util.threads.ThreadPool$ControlRunnable.run(ThreadPool.java:683)
        at java.lang.Thread.run(Thread.java:534)","Linux 2.4.21-27.0.1.ELsmp, Red Hat Enterprise Linux ES release 3 (Taroon Update 4), 2 * Intel(R) Xeon(TM) CPU 2.80GHz, Sun JDK 1.4.2_06 & 1.4.2_07","Duplicate of bug #1042176 from Sourceforge;03/Mar/05 2:58 AM;wolfc;3600",,,,,,,,,,,,,,,3600,,,,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-03-03 13:05:02.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,"1|hydma7:",68375,,,0.0,,,http://sourceforge.net/tracker/index.php?func=detail&aid=1042176&group_id=22866&atid=376685,,,,,,,,,,,,,,,,,,,"03/Mar/05 1:05 PM;thomas.diesler;This has been fixed in jboss-3.2.7
http://sourceforge.net/tracker/index.php?func=detail&aid=1042176&group_id=22866&atid=376685",,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBossWS Benchmark,JBWS-75,12312732,,Task,Closed,JBWS,JBoss Web Services,software,jim.ma,"<p/>
<a href='https://jira.jboss.org/jira/secure/IssueNavigator.jspa?mode=hide&requestId=12312210'>Show my open issues</a> sorted by version.
<!-- http://jira.jboss.org/jira/secure/IssueNavigator.jspa?mode=hide&requestId=12310321 -->
<br/><br/>
Bug only filters:<br/>
<a href=""https://jira.jboss.org/jira/secure/IssueNavigator.jspa?mode=hide&requestId=12313038"">All open bugs</a><br/>
<a href=""https://jira.jboss.org/jira/secure/IssueNavigator.jspa?mode=hide&requestId=12313035"">Native stack open bugs</a><br/>
<a href=""https://jira.jboss.org/jira/secure/IssueNavigator.jspa?mode=hide&requestId=12313037"">CXF stack open bugs</a><br/>

",http://jboss.org/jbossws,Major,Done,heiko.braun,thomas.diesler,thomas.diesler,17/Jan/05 11:56 AM,14/Jan/10 6:29 AM,09/May/19 9:51 PM,27/Jun/06 7:54 AM,,,,,,,,,jbossws-1.0.2,,,,,,,jbossws-native,,,1,"Provide a benchmark application that shows how JBossWS performes with respect to Axis, JWSDP, etc.
Check existing WS benchmarks on how messages should be structured to provide meaningful values.

Is it necessary to benchmark the client/server stack independently?",," I've created 2 wsdl files, one using rpc/literal and one doc/literal messaging mode. The wsdl implements 4 use cases:

1) echo SimpleUserType - receives and sends back a SimpleUserType that has 3 members of the type int, float and String
2) echo array of SimpleUserType - receives and sends back an array of SimpleUserType of any length.
3) echo Synthetic - receives and sends back a little more complex user type. This type has 3 members of the type String, SimpleUserType and an byte[]
4) get order - this use case simulates a request for a complete purchase order, taking two integer input parameters and sends back an Order object. The order object has a more complex structure that includes order header info, a customer sub-class with shipping address and billing address structures, as well as any number of line items objects. In my implementation the order object always contains 50 line items.

Thomas, because I don't have RW access to the CVS, I've attached an implementation of these wsdl's. 
;14/Nov/05 9:32 AM;anders.hedstrom;57600",,,,,,,,,,,,,,,57600,,,,57600,,,,,,"30/Sep/05 5:20 AM;thomas.diesler;PushToTest_summary_graphs.pdf;https://issues.jboss.org/secure/attachment/12311024/PushToTest_summary_graphs.pdf","09/Nov/05 5:50 AM;anders.hedstrom;webservice.zip;https://issues.jboss.org/secure/attachment/12311168/webservice.zip",,,,,,,,,,,,,,,,,,,,,,,,,2005-11-03 14:32:19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,,,,,,,,,,,,"1|hy4xpj:",18080,,,0.0,,,,,,,,,,,,,,,,,,,,,,"09/Feb/05 10:42 AM;thomas.diesler;Check this out:

http://www.extreme.indiana.edu/xgws/soap_bench/","30/Sep/05 5:18 AM;thomas.diesler;PushToTest

http://www.pushtotest.com/

BEA benchmarks

http://dev2dev.bea.com/soa/toolkit.html","02/Nov/05 11:26 AM;thomas.diesler;Anders wrote,

I've started to dig in to JBWS-75 a bit and I've decided to use Microsofts WSTest 1.1 http://msdn.microsoft.com/vstudio/java/compare/webserviceperf/default.aspx , which is their implementation of Sun's WSTest 1.0 http://java.sun.com/developer/codesamples/webservices.html#Performance
They used Mercury's LoadRunner when they performed their tests, but this is commercial software that I don't have. I've found another software, Crosscheck Network SOAPSonar http://www.crosschecknet.com/ , they have a Personal Edition that's free. This looks pretty nice. I'll look into PustToTest as well.
","03/Nov/05 8:44 AM;thomas.diesler;Thanks for getting started on JBWS-75. 

The performance and benchmark tests should run in an automated fashion as part of an ant task. This is important because they will run as part of the jboss-labs performance regression tests.

Unfortunately, we cannot have any dependencies on third party software that we cannot distribute. What I am initially looking for is a set of ws deployments that cover common ws processing use cases. 

What immediately jumps to mind are use cases like: 

1) trivial soap messages
2) complex user types
3) array types 

I would assume that we are not the first who think about measuring ws performance. So ideally, there is a set of wsdl available somewhere that form the basis of good performance tests. If this fails, maybe there is a paper available that allows us to derive the needed set of wsdl files.

From the wsdl files we derive the deployments and the test cases.

Initially we would have a build for jbossws deployments. Later we would add corresponding deployments for JWSDP, Axis, etc to actually do a comparison.
","03/Nov/05 2:32 PM;dandiep;Just wanted to jump in here and say that I totally agree with Thomas on coming up with a set of different wsdls to cover different use cases. It would be great if they could become part of a standardized project in the community. But that may be more trouble than it is worth.","09/Nov/05 5:50 AM;anders.hedstrom;I've created 2 wsdl files, one using rpc/literal and one doc/literal messaging mode. The wsdl implements 4 use cases:

1) echo SimpleUserType - receives and sends back a SimpleUserType that has 3 members of  the type int, float and String
2) echo array of SimpleUserType - receives and sends back an array of SimpleUserType of any length. 
3) echo Synthetic - receives and sends back a little more complex user type. This type has 3 members of the type String, SimpleUserType and an byte[]
4) get order - this use case simulates a request for a complete purchase order, taking two integer input parameters and sends back an Order object. The order object has a more complex structure that includes order header info, a customer sub-class with shipping address and billing address structures, as well as any number of line items objects. In my implementation the order object always contains 50 line items.

Thomas, because I don't have RW access to the CVS, I've attached an implementation of these wsdl's.
","15/Dec/05 3:47 PM;omatzura;Hi guys!

great effort you are doing.. I've created an open-source (LPGL) soap/ws testing utility called soapui (http://www.soapui.org) which has supports automated funcationality/compliance testing (automated load/duration testing is currently in development and will be available in a couple of weeks.. ) maybe you could use this for automating the required tests? (soapui comes both with a maven plugin and a command-line runner)

let me know if I can help somehow..

regards,

Ole","10/May/06 7:07 AM;thomas.diesler;Heiko, maybe this is relevant

http://www.jboss.com/index.html?module=bb&op=viewtopic&p=3942430#3942430","27/Jun/06 7:54 AM;thomas.diesler;tdiesler@TDDELL /cygdrive/d/cvs/jboss-branch/jboss-4.0.x/testsuite
$ ./build.sh -Dtest=webservice/benchmark test

test:
   [delete] Deleting: D:\cvs\jboss-branch\jboss-4.0.x\testsuite\output\log\test.log
    [junit] Running org.jboss.test.webservice.benchmark.BenchmarkDocEJBTestCase
    [junit] Tests run: 5, Failures: 0, Errors: 0, Time elapsed: 27.75 sec
    [junit] Running org.jboss.test.webservice.benchmark.BenchmarkDocJSETestCase
    [junit] Tests run: 5, Failures: 0, Errors: 0, Time elapsed: 24.734 sec
    [junit] Running org.jboss.test.webservice.benchmark.BenchmarkRpcEJBTestCase
    [junit] Tests run: 5, Failures: 0, Errors: 0, Time elapsed: 28.407 sec
    [junit] Running org.jboss.test.webservice.benchmark.BenchmarkRpcJSETestCase
    [junit] Tests run: 5, Failures: 0, Errors: 0, Time elapsed: 23.078 sec","14/Jan/10 6:29 AM;asoldano;Closing issues resolved in released versions",,,,,,,,,,,,,,,,,,,
mod_jk 1.2.10,JBWEB-12,12313194,,Task,Closed,JBWEB,JBoss Web,software,rmaucher,"Enterprise ready web server, based on the Apache Tomcat 6.0. Standalone and embedded in JBoss AS.",http://jboss.org/jbossweb,Major,Done,mladen.turk,mladen.turk,mladen.turk,11/Feb/05 3:27 AM,30/Mar/05 12:51 AM,09/May/19 9:51 PM,30/Mar/05 12:51 AM,,,,,,,,,,,,,,,,Tomcat,,,0,"Add shared memory and status page for mod_jk.
Shared memory allows true load balancer status,
and notifying all child processes.
Status page like in JK2 but more advanced like in
new mod_proxy will allow to dynamically change node
status (shutting down node for maintenance without
loosing existing session), and changing all configuration
parameters at runtime using simple web page.

Currently the shared memory is 80% finished, allowing
worker and balancer dynamic data. What's left is adding
uri mapping.

The release schedule for JK 1.2.10 is first half of March '05.
The beta version (1.2.9 Beta 1) is planned for end of this month.",,"Implemented jk_shm and initial jk_status.
Updated all build files as needed.;11/Feb/05 3:30 AM;mladen.turk;144000","Finished shared memory and jk_status worker.;16/Feb/05 8:22 AM;mladen.turk;144000",";15/Mar/05 6:27 AM;mladen.turk;230400","Released 1.2.10 as stable on March 30.;30/Mar/05 12:49 AM;mladen.turk;144000",,,,,,,,,,576000,0,662400,115%,576000,0,662400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,,,,,,,,,"1|hydmhb:",68407,,,0.0,,,,,,,,,,,,,,,,,,,,,,"16/Feb/05 8:22 AM;mladen.turk;Finished shared memory implementation.
Finished status manager console and jkstatus worker.
It allows dynamic update of worker data.

What is left is testing, and more testing.
Adding dynamic uri mappings is in progress.","15/Mar/05 6:26 AM;mladen.turk;JK 1.2.9 is ready to roll out.
The release process will start on 3/17/2005, and it will take a
week to finish. Since IMHO we have the best mod_jk ever, there is
no need to go trough rigorous release process as for 1.2.8.","30/Mar/05 12:51 AM;mladen.turk;mod_jk 1.2.10 is released as stable on March 30.",,,,,,,,,,,,,,,,,,,,,,,,,,
Development of MOD_JK/MOD_PROXY/Native Connectors training modules,JBWEB-10,12312689,,Task,Closed,JBWEB,JBoss Web,software,rmaucher,"Enterprise ready web server, based on the Apache Tomcat 6.0. Standalone and embedded in JBoss AS.",http://jboss.org/jbossweb,Major,Partially Completed,mladen.turk,juha,juha,14/Jan/05 8:54 AM,14/Jul/06 3:48 AM,09/May/19 9:51 PM,14/Jul/06 3:48 AM,,,,,,,,,,,,,,,,Training,,31/May/05 12:00 AM,0,Content development for MOD_JK/MOD_PROXY/Native Connectors training modules based on JBWEB-9.,,"Created advanced MOD_JK training modules as part of Clustering module.
It can be used as a base for separate training module or as part of Tomcat
training.;11/Aug/05 4:55 AM;mladen.turk;144000",,,,,,,,,,,,,,0,144000,,,0,144000,,JBWEB-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07-14 03:48:12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,"1|hyo42n:",129602,,,0.0,,,,,,,,,,,,,,,,,,,,,,"14/Jul/06 3:48 AM;mladen.turk;We are currently discussing to create a new JBAPACHE project
where all the APACHE product Task will be created.
Anyhow there were lots of activity on this issue and vaste
majority is finished.

If further work will need to be done, It'll have to be the
part of new project, not JBWEB.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
